Building & Room ID,Building Name,Floor, Room size (SF),Department,Room Use Code,Actual Stations,Furniture Type,Space Category,Comments,Room Photo1,Room Photo2,Room Photo3,Room Photo4,Occupants,Function Comment
025-0 0208-C0,Faculty Offices East,2,157.02,115400-CSM-Mathematics,315 - Office Service,0,00 Unapplicable,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200208-C0.Room%20Photo1.193147.jpg&appVersion=1.000082&signature=6596276ded95ebd7b94735003915d0eda9a6eed3589769a063300587c74f5d2f,,,,,
025-0 0208-AC,Faculty Offices East,2,81.45,115400-CSM-Mathematics,315 - Office Service,0,00 Unapplicable,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200208-AC.Room%20Photo1.193115.jpg&appVersion=1.000082&signature=025662ecb0f19bc7225196518f07f76b6532c41c1aa2708f082be4d5613922ff,,,,,
025-0 0208-B0,Faculty Offices East,2,221.3,115400-CSM-Mathematics,350 - Conference Room,20,01 Tbl/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200208-B0.Room%20Photo1.192911.jpg&appVersion=1.000082&signature=5a2cc8625246c381a300592423be3dae757672cff630a06a8c2c832bdc3c9b4f,,,,,
025-0 0206-00,Faculty Offices East,2,107.65,115400-CSM-Mathematics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,Shared with Dakhlia,,,,,"Elwood, Jason (CSM-MATH)",
025-0 0127-00,Faculty Offices East,1,109.62,117508-CSM-Ctr Sci-Math Teacher Educ,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,Crystal Mercado office,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200127-00.Room%20Photo1.184815.jpg&appVersion=1.000082&signature=7b51e50311733d419de7bd94ba98100ceebdce3b55945392905e67f75d4480ea,,,,,
025-0 0128-00,Faculty Offices East,1,109.62,115500-CSM-Physics,310 - Faculty Office,2,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Fraser, Scott (CSM-PHYS);Lu, Lei (CSM-PHYS)",
025-0 0129-00,Faculty Offices East,1,108.22,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,Vance Larsen is temporarily using the office while Yenigun is on leave,,,,,"Yenigun, Deniz (CSM-STAT)",
025-0 0130-00,Faculty Offices East,1,111.03,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Dekhtyar, Olga (CSM-STAT)",
025-0 0131-00,Faculty Offices East,1,107.67,109400-CSM-Liberal Studies,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200131-00.Room%20Photo1.184915.jpg&appVersion=1.000082&signature=d1e8bab101385c864c2f0f40b4b4de4fd606138e1473f372a1bc56ab581953ee,,,,"Nation, Jasmine (CSM-LS)",
025-0 0207-00,Faculty Offices East,2,108.24,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Giron, Frank (CSM-STAT)",
025-0 0215-00,Faculty Offices East,2,95.27,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Korengel, Felicia (CSM-STAT)",
025-0 0200-00,Faculty Offices East,2,101.64,115400-CSM-Mathematics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Nepsa, Zoe (CSM-MATH);McDuff, Mitchell (CSM-MATH)",
025-0 0202-00,Faculty Offices East,2,107.66,115400-CSM-Mathematics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Mendes, Anthony (CSM-MATH)",
025-0 0203-00,Faculty Offices East,2,112.95,115400-CSM-Mathematics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,Cruz office,,,,,,
025-0 0204-00,Faculty Offices East,2,102.36,115400-CSM-Mathematics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Lopez, Robert (CSM-MATH)",
025-0 0205-00,Faculty Offices East,2,107.65,115400-CSM-Mathematics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Grundmeier, Todd (CSM-MATH)",
025-0 0201-00,Faculty Offices East,2,107.67,115300-CSM-Statistics,310 - Faculty Office,1,04 Dsk/Ch,5 Academic Unit Offices,,,,,,"Mann, Charlotte (CSM-STAT)",
025-0 0125-E0,Faculty Offices East,1,123.1,109400-CSM-Liberal Studies,310 - Faculty Office,1,00 Unapplicable,5 Academic Unit Offices,Shared lecturer space,https://www.appsheet.com/image/getimageurl?appName=CalPolySpaceManagement2025-1009913&tableName=Facilities&fileName=Facilities_Images%2F025-0%2F025-0%200125-E0.Room%20Photo1.184416.jpg&appVersion=1.000082&signature=1b515261326f9de191c904f11cc2a1b08f6d8b53428ecbd559a48c12d0b5e83b,,,,,
